id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
25455523,Deluxe Family Home Pondside JP,12150111,A And L,,Jamaica Plain,42.31238,-71.11762,Entire home/apt,500,3,3,2019-05-20,0.15,3,0
25476090,Posh Medical 2 Bedroom Apt In Center of Boston!,163251048,Jen,,Chinatown,42.35126,-71.06109,Entire home/apt,269,3,0,,,48,221
25476466,RIVER LOCATION AND CITY VIEWS-SAFE CITY LOCATION!,9529655,Suzanne,,Fenway,42.35063,-71.09571,Entire home/apt,198,91,0,,,4,362
25520363,A true “home away from home”,4842537,Haim,,Brighton,42.34543,-71.13703,Entire home/apt,250,2,47,2020-03-02,2.08,1,269
25576444,SouthEnd Eagles Nest,34719298,Michael,,South End,42.34105,-71.07793,Entire home/apt,175,2,55,2020-03-01,2.44,1,20
25685344,43' Motor Yacht in Boston Harbor,316958,Maria,,Charlestown,42.37191,-71.04987,Entire home/apt,300,2,12,2019-08-25,0.55,1,297
25741105,2 bedroom with private bath in Southie!,99396351,Nick,,South Boston,42.33338,-71.05473,Private room,150,1,14,2019-09-07,0.69,2,86
25770647,"Naturally Lit, Modern Loft in Heart of Downtown!",1911807,Kelly & Chris,,Downtown,42.35529,-71.06087,Entire home/apt,225,2,107,2020-04-07,4.76,2,323
25775084,Comfortable & Convenient in Boston w Free Parking!,62852803,Tina,,West Roxbury,42.28234,-71.168,Private room,75,91,26,2019-08-11,1.15,1,365
25804129,Walk to Fanueil Hall: 4 Bed / 2.5 Bath plus Patio!,8118901,Amanda,,Charlestown,42.37561,-71.06109,Entire home/apt,700,4,13,2019-11-11,0.60,1,84
25933888,BOSTON LOFT FARM HOUSE /LOGAN AIRPORT&TRAIN,9073339,Elisangela,,East Boston,42.37999,-71.0357,Entire home/apt,300,1,71,2020-03-20,3.33,3,308
25936605,BEAUTIFUL STUDIO RIGHT NEXT TO THE STATE HOUSE!,5259356,Anna,,Downtown,42.35926,-71.06206,Entire home/apt,99,91,31,2019-12-17,1.44,1,274
25947332,Affluent 3 Bedroom 3 Bath Condo Downtown Boston,152237835,Sabrina,,South Boston,42.34347,-71.05902,Entire home/apt,325,91,68,2020-01-01,3.16,1,78
25971732,One Bedroom in Boston's Back Bay Neighborhood #110,18202088,Luxurious,,Back Bay,42.3454,-71.07992,Entire home/apt,296,91,0,,,18,0
25975436,Stay in a GoLocal American-Made Suite in Back Bay!,18202088,Luxurious,,Back Bay,42.34643,-71.0794,Entire home/apt,287,91,1,2018-10-04,0.05,18,0
26005227,Heart of the South End!  Reviews on 2nd listing!,432317,Julie,,South End,42.34544,-71.06909,Entire home/apt,95,7,2,2018-11-17,0.10,2,3
26012594,⭐EatRelax w/Disney plus near Downtown FreePrkg,25203946,Eder,,Dorchester,42.30953,-71.06248,Entire home/apt,267,2,26,2020-02-09,1.22,17,355
26031821,"Great Studio @ TD Garden, MGH, MIT & Downtown",133407298,Flor,,Downtown,42.36532,-71.06337,Entire home/apt,159,1,133,2020-03-19,5.98,9,73
